owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
1,ORIGINAL,2001,350000,False,False,Соликамск,7,50000,True,3,CYLINDERS_2,V_TYPE,650,CARBURETOR,CARDAN,47.0,Yamaha,XVS_650,CHOPPER,STROKES_4,TRANSMISSION_5
2,ORIGINAL,1988,35000,False,False,Новоалтайск,7,21585,True,6,CYLINDERS_2,OPPOSITE,650,CARBURETOR,CARDAN,36.0,Днепр,MT_11,ROAD,STROKES_4,TRANSMISSION_4
2,ORIGINAL,1993,360000,False,False,Лобня,7,65000,True,8,CYLINDERS_6,,1500,CARBURETOR,CARDAN,100.0,Honda,GL_1500,TOURISM,STROKES_4,TRANSMISSION_5_FORWARD_AND_BACK
2,ORIGINAL,1988,35000,False,False,Новоалтайск,7,21585,True,6,CYLINDERS_2,OPPOSITE,650,CARBURETOR,CARDAN,36.0,Днепр,MT_11,ROAD,STROKES_4,TRANSMISSION_4
3,ORIGINAL,2006,410000,False,False,Санкт-Петербург,6,50556,True,4,,,636,INJECTOR,CHAIN,131.0,Kawasaki,ZX_6_NINJA,SPORTBIKE,,TRANSMISSION_6
3,ORIGINAL,2010,1799000,False,False,Москва,6,27000,True,12,,,1650,INJECTOR,Not_info,80.0,Harley-Davidson,TRI_GLIDE,ROAD,,
3,ORIGINAL,2007,899000,False,False,Москва,6,28000,True,19,,,1650,INJECTOR,Not_info,79.0,Harley-Davidson,ROAD_KING,CHOPPER,,
3,ORIGINAL,2016,600000,False,False,Санкт-Петербург,6,3580,True,19,CYLINDERS_1,LINE,300,INJECTOR,CHAIN,31.0,Honda,CBR_300,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2009,310000,False,False,Москва,6,30560,True,19,,,250,INJECTOR,Not_info,,Yamaha,XT_250_SEROW,OFFROAD_ENDURO,,
3,ORIGINAL,2001,295000,False,False,Кудрово,8,34000,True,2,CYLINDERS_2,V_TYPE,400,CARBURETOR,CHAIN,33.0,Honda,SHADOW,CHOPPER,STROKES_4,TRANSMISSION_5
3,DUPLICATE,2014,790000,False,False,Москва,6,26000,True,12,CYLINDERS_2,V_TYPE,1200,INJECTOR,CHAIN,150.0,Ducati,MULTISTRADA_1200,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2017,750000,False,False,Москва,6,13872,True,8,CYLINDERS_4,LINE,948,INJECTOR,CHAIN,125.0,Kawasaki,Z_900,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2015,130000,False,False,Новомосковск,7,15000,True,3,CYLINDERS_1,LINE,250,CARBURETOR,CHAIN,16.0,Motoland,WOLF_250,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2019,1050000,False,True,Новосибирск,7,1719,True,19,CYLINDERS_2,V_TYPE,750,INJECTOR,BELT,,Harley-Davidson,STREET,CLASSIC,STROKES_4,TRANSMISSION_6
1,DUPLICATE,1993,180000,False,False,Воронеж,7,11000,True,10,CYLINDERS_2,OPPOSITE,650,CARBURETOR,CARDAN,36.0,Урал,8103_1,ROAD,STROKES_4,TRANSMISSION_4
1,ORIGINAL,2021,4199000,False,False,Санкт-Петербург,6,9778,True,17,CYLINDERS_6,,1833,INJECTOR,CARDAN,126.0,Honda,GL_1800,TOURISM,STROKES_4,ROBOTIC_2_CLUTCH
2,ORIGINAL,2016,1559000,False,False,Санкт-Петербург,6,556,True,15,CYLINDERS_4,,1237,INJECTOR,CARDAN,173.0,Honda,VFR_1200,SPORTTOURISM,STROKES_4,AUTOMATIC
1,ORIGINAL,2004,350000,False,False,Москва,6,50000,True,10,CYLINDERS_2,,85,INJECTOR,CARDAN,,BMW,R_1150_R,,,
1,ORIGINAL,2021,2800000,False,False,Краснодар,7,1950,True,1,CYLINDERS_2,,1250,,Not_info,136.0,BMW,R_1250_RT,ROAD,,
1,ORIGINAL,2021,850000,False,False,Курск,7,1500,True,19,,,1100,,Not_info,,Honda,CRF_1000L_AFRICA_TWIN,OFFROAD_ENDURO,,
3,ORIGINAL,2010,1200000,False,False,Москва,6,45000,True,8,,,1800,,Not_info,,Honda,GL_1800,,,
1,ORIGINAL,2010,550000,False,False,Серпухов,7,15000,True,7,CYLINDERS_2,V_TYPE,400,INJECTOR,CHAIN,33.0,Honda,SHADOW,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2020,736357,False,False,Минск,6,1000,True,5,,,750,,Not_info,,Suzuki,GSX_750,NAKEDBIKE,,
2,ORIGINAL,2020,1420000,False,False,Москва,6,8896,True,6,,,900,,Not_info,65.0,Triumph,STREET_TWIN,,,TRANSMISSION_5
4,DUPLICATE,1998,230000,False,False,Москва,6,68391,True,13,,,400,CARBURETOR,Not_info,53.0,Honda,CB_400,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2014,1200000,False,False,Нижний Новгород,7,29800,True,15,,,1000,INJECTOR,Not_info,107.0,BMW,S_1000_RR,SUPERSPORT,,
1,ORIGINAL,2011,665000,False,False,Москва,6,49593,True,11,,,1900,INJECTOR,BELT,100.0,Yamaha,XV1900,CRUISER,,TRANSMISSION_5
2,ORIGINAL,2013,750000,False,False,Москва,6,9000,True,7,,LINE,865,INJECTOR,CHAIN,60.0,Triumph,SPEEDMASTER,CRUISER,,TRANSMISSION_5
4,DUPLICATE,2003,450000,False,False,Москва,6,50000,True,3,CYLINDERS_4,LINE,1300,INJECTOR,CHAIN,100.0,Honda,CB_1300,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2004,280000,False,False,Москва,6,26833,True,4,CYLINDERS_1,,250,CARBURETOR,CHAIN,,Yamaha,XG250_TRICKER,TRIAL,STROKES_4,TRANSMISSION_4
1,ORIGINAL,2004,465000,False,False,Москва,6,39673,True,12,,,750,INJECTOR,CHAIN,45.0,Honda,VT_750,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2012,835000,False,False,Москва,6,38029,True,6,,,1000,INJECTOR,CHAIN,138.0,Kawasaki,Z_1000SX,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2014,875000,False,False,Москва,6,25928,True,6,,,821,INJECTOR,CHAIN,112.0,Ducati,MONSTER_821,NAKEDBIKE,,TRANSMISSION_6
1,ORIGINAL,2014,735000,False,False,Москва,6,23050,True,6,,,700,INJECTOR,CHAIN,75.0,Yamaha,MT_07,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2003,525000,False,False,Москва,6,100651,True,13,,,1300,INJECTOR,CARDAN,146.0,Yamaha,FJR_1300,SPORTTOURISM,,TRANSMISSION_5
1,ORIGINAL,2014,735000,False,False,Москва,6,29591,True,11,,,700,INJECTOR,CHAIN,75.0,Yamaha,MT_07,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,695000,False,False,Москва,6,23135,True,13,,,700,INJECTOR,CHAIN,75.0,Yamaha,MT_07,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,785000,False,False,Москва,6,29498,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2003,825000,False,False,Москва,6,30552,True,13,,,1700,INJECTOR,BELT,86.0,Yamaha,XV_1700_WARRIOR,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2007,785000,False,False,Москва,6,68180,True,13,,,1400,INJECTOR,CHAIN,200.0,Kawasaki,ZZR_1400,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,745000,False,False,Москва,6,88374,True,10,,,1200,INJECTOR,CARDAN,110.0,BMW,R_1200_R,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2002,515000,False,False,Москва,6,63797,True,6,,,1150,INJECTOR,CARDAN,95.0,BMW,R_1150_RT,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2015,585000,False,False,Москва,6,21676,True,13,,,250,INJECTOR,CHAIN,25.0,Honda,CRF_250L,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2007,585000,False,False,Москва,6,61800,True,6,,,800,INJECTOR,CHAIN,106.0,Honda,VFR,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,955000,False,False,Москва,6,65117,True,13,,,1400,INJECTOR,CHAIN,200.0,Kawasaki,ZZR_1400,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2008,555000,False,False,Москва,6,18786,True,13,,,600,INJECTOR,CHAIN,95.0,Yamaha,FZ6,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,785000,False,False,Москва,6,6913,True,6,,,750,INJECTOR,CHAIN,55.0,Honda,NC_750_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2011,695000,False,False,Москва,6,7922,True,6,,,600,INJECTOR,CHAIN,98.0,Yamaha,XJ6,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2011,535000,False,False,Москва,6,35233,True,6,,,800,INJECTOR,BELT,85.0,BMW,F_800_ST,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2000,345000,False,False,Москва,6,124224,True,13,,,1100,INJECTOR,CARDAN,80.0,BMW,R_1100_RT,SPORTTOURISM,,TRANSMISSION_5
1,ORIGINAL,2005,745000,False,False,Москва,6,106940,True,11,,,1450,INJECTOR,BELT,61.0,Harley-Davidson,ELECTRA_GLIDE_,CRUISER,,TRANSMISSION_6
1,ORIGINAL,2007,785000,False,False,Москва,6,43401,True,13,,,1400,INJECTOR,CHAIN,200.0,Kawasaki,ZZR_1400,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2008,395000,False,False,Москва,6,50621,True,11,,,400,INJECTOR,CHAIN,34.0,Honda,SHADOW,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2007,585000,False,False,Москва,6,55510,True,6,,,1000,INJECTOR,CHAIN,150.0,Yamaha,FZ1,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2011,825000,False,False,Москва,6,36515,True,11,,,1200,INJECTOR,CARDAN,110.0,Yamaha,XT_1200Z_SUPER_TENERE,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2003,515000,False,False,Москва,6,38827,True,6,,,800,INJECTOR,CHAIN,106.0,Honda,VFR,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2015,635000,False,False,Москва,6,4759,True,11,,,250,INJECTOR,CHAIN,25.0,Honda,CRF_250L,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2015,1195000,False,False,Москва,6,46649,True,11,,,1200,INJECTOR,CARDAN,125.0,BMW,R_1200_RS,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2010,435000,False,False,Москва,6,60278,True,11,,,650,INJECTOR,CHAIN,75.0,Kawasaki,ER_6N,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,1990,495000,False,False,Москва,6,98434,True,13,,,1520,CARBURETOR,CARDAN,100.0,Honda,GL_1500,CLASSIC,,TRANSMISSION_5
1,ORIGINAL,2013,565000,False,False,Москва,6,34916,True,11,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2013,535000,False,False,Москва,6,65163,True,11,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2008,535000,False,False,Москва,6,33655,True,11,,,1200,INJECTOR,CARDAN,110.0,BMW,R_1200_ST,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2015,1005000,False,False,Москва,6,3486,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09_TRACER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2007,475000,False,False,Москва,6,14909,True,11,,,1200,INJECTOR,CARDAN,160.0,BMW,K_1200_R,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2013,785000,False,False,Москва,6,16998,True,6,,,650,INJECTOR,CHAIN,71.0,Suzuki,V_STROM_DL_650,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2013,505000,False,False,Москва,6,45293,True,11,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2015,895000,False,False,Москва,6,12883,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09_TRACER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2007,535000,False,False,Москва,6,24832,True,11,,,1000,INJECTOR,CHAIN,150.0,Yamaha,FZ1,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2015,875000,False,False,Москва,6,18826,True,13,,,800,INJECTOR,CHAIN,73.0,Ducati,SCRAMBLER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,695000,False,False,Москва,6,26578,True,11,,,700,INJECTOR,CHAIN,75.0,Yamaha,MT_07,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2008,695000,False,False,Москва,6,31235,True,13,,,848,INJECTOR,CHAIN,140.0,Ducati,848,SPORTBIKE,,TRANSMISSION_6
1,ORIGINAL,2005,475000,False,False,Москва,6,27859,True,11,,,400,CARBURETOR,CHAIN,40.0,Suzuki,DR_Z_400_SM,OFFROAD_ENDURO,,TRANSMISSION_5
1,ORIGINAL,2015,1435000,False,False,Москва,6,22507,True,11,,,1200,INJECTOR,CARDAN,125.0,BMW,R_1200_RT,TOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,695000,False,False,Москва,6,45936,True,11,,,883,INJECTOR,BELT,54.0,Harley-Davidson,XLH_883,CHOPPER,,TRANSMISSION_5
1,ORIGINAL,2015,955000,False,False,Москва,6,25194,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09_TRACER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2011,1295000,False,False,Москва,6,11481,True,13,,,1580,INJECTOR,BELT,71.0,Harley-Davidson,ELECTRA_GLIDE_,CRUISER,,TRANSMISSION_6
1,ORIGINAL,2001,525000,False,False,Москва,6,40010,True,13,,,1300,INJECTOR,CARDAN,146.0,Yamaha,FJR_1300,SPORTTOURISM,,TRANSMISSION_5
1,ORIGINAL,2009,635000,False,False,Москва,6,65480,True,10,,,1300,INJECTOR,CARDAN,172.0,BMW,K_1300_R,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2013,695000,False,False,Москва,6,32960,True,13,,,650,INJECTOR,CHAIN,71.0,Suzuki,V_STROM_DL_650,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2004,555000,False,False,Москва,6,25009,True,13,,,1100,CARBURETOR,CARDAN,65.0,Yamaha,XVS_1100,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2011,735000,False,False,Москва,6,41551,True,11,,,1000,INJECTOR,CHAIN,138.0,Kawasaki,Z_1000SX,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,805000,False,False,Москва,6,14348,True,11,,,1200,INJECTOR,CARDAN,172.0,Honda,VFR_1200,SPORTTOURISM,,AUTOMATIC
1,ORIGINAL,2009,835000,False,False,Москва,6,28549,True,11,,,1200,INJECTOR,CARDAN,105.0,BMW,R_1200_GS,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,1999,315000,False,False,Москва,6,50412,True,13,,,400,INJECTOR,CHAIN,34.0,Honda,SHADOW,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2011,945000,False,False,Москва,6,24434,True,8,,,883,INJECTOR,BELT,54.0,Harley-Davidson,XLH_883,CHOPPER,,TRANSMISSION_5
1,ORIGINAL,2013,675000,False,False,Москва,6,14158,True,11,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2013,585000,False,False,Москва,6,8960,True,13,,,650,INJECTOR,CHAIN,75.0,Kawasaki,ER_6,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2005,655000,False,False,Москва,6,45548,True,13,,,1200,INJECTOR,CARDAN,105.0,BMW,R_1200_GS,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2001,555000,False,False,Москва,6,47437,True,13,,,954,INJECTOR,CHAIN,151.0,Honda,CBR_954,SPORTBIKE,,TRANSMISSION_6
1,ORIGINAL,2017,1695000,False,False,Москва,6,38853,True,11,,,1290,INJECTOR,CHAIN,160.0,KTM,1290_SUPER_ADVENTURE_S,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2011,605000,False,False,Москва,6,30707,True,11,,,750,INJECTOR,CHAIN,45.0,Honda,VT_750,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2015,955000,False,False,Москва,6,9397,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09_TRACER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,1999,485000,False,False,Москва,6,21949,True,6,,,1100,CARBURETOR,CARDAN,65.0,Yamaha,XVS_1100,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2013,1525000,False,False,Москва,6,46590,True,11,,,1800,INJECTOR,CARDAN,117.0,Honda,GL_1800,CRUISER,,TRANSMISSION_5_FORWARD_AND_BACK
1,ORIGINAL,2004,475000,False,False,Москва,6,19978,True,6,,,1150,INJECTOR,CARDAN,90.0,BMW,R_1150_R,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2015,845000,False,False,Москва,6,50194,True,11,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09_TRACER,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,675000,False,False,Москва,6,49825,True,11,,,700,INJECTOR,CHAIN,75.0,Yamaha,MT_07,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2015,785000,False,False,Москва,6,27054,True,11,,,650,INJECTOR,CHAIN,72.0,Kawasaki,VERSYS_650,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2010,495000,False,False,Москва,6,34858,True,13,,,696,INJECTOR,CHAIN,80.0,Ducati,MONSTER_696,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2013,675000,False,False,Москва,6,7852,True,13,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2011,1185000,False,False,Москва,6,22218,True,13,,,1580,INJECTOR,BELT,71.0,Harley-Davidson,ROAD_KING,CRUISER,,TRANSMISSION_6
1,ORIGINAL,2011,915000,False,False,Москва,6,83395,True,13,,,1700,INJECTOR,BELT,73.0,Kawasaki,VN1700_VULCAN,CRUISER,,TRANSMISSION_6
1,ORIGINAL,2008,750000,False,False,Москва,6,38069,True,10,,,1800,INJECTOR,CARDAN,125.0,Suzuki,BOULEVARD,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2016,1135000,False,False,Москва,6,14079,True,10,,,1000,INJECTOR,CHAIN,165.0,BMW,S_1000_XR,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2015,605000,False,False,Москва,6,13891,True,5,,,250,INJECTOR,CHAIN,25.0,Honda,CRF_250L,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2011,745000,False,False,Москва,6,28405,True,11,,,1200,INJECTOR,CHAIN,150.0,Ducati,MULTISTRADA_1200,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2006,785000,False,False,Москва,6,12888,True,13,,,1300,INJECTOR,CARDAN,126.0,Honda,ST_1300,CLASSIC,,TRANSMISSION_5
1,ORIGINAL,2005,435000,False,False,Москва,6,78555,True,13,,,750,INJECTOR,CHAIN,110.0,Kawasaki,Z_750,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2017,515000,False,False,Москва,6,37923,True,4,,,400,INJECTOR,CHAIN,47.0,Honda,400X,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2005,605000,False,False,Москва,6,18235,True,13,,,636,INJECTOR,CHAIN,130.0,Kawasaki,ZX_6_NINJA,SUPERSPORT,,TRANSMISSION_6
1,ORIGINAL,2013,645000,False,False,Москва,6,36617,True,6,,,800,INJECTOR,CHAIN,125.0,MV Agusta,BRUTALE_B3_800,NAKEDBIKE,,TRANSMISSION_6
1,ORIGINAL,2008,389000,False,False,Москва,6,65086,True,10,,,800,INJECTOR,BELT,85.0,BMW,F_800_S,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2007,565000,False,False,Москва,6,35319,True,10,,,1000,INJECTOR,CHAIN,150.0,Yamaha,FZ1,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2003,475000,False,False,Москва,6,32583,True,11,,,1100,CARBURETOR,CARDAN,65.0,Yamaha,XVS_1100,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2013,645000,False,False,Москва,6,31624,True,13,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2010,775000,False,False,Москва,6,41864,True,11,,,1200,INJECTOR,CARDAN,172.0,Honda,VFR_1200,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2001,385000,False,False,Москва,6,70381,True,10,,,1150,INJECTOR,CARDAN,95.0,BMW,R_1150_RT,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,1245000,False,False,Москва,6,86984,True,13,,,1600,INJECTOR,CARDAN,160.0,BMW,K_1600_GTL,TOURISM,,TRANSMISSION_6
1,ORIGINAL,2011,595000,False,False,Москва,6,21363,True,11,,,1250,INJECTOR,CHAIN,110.0,Suzuki,GSX_1250_FA,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2005,435000,False,False,Москва,6,80768,True,11,,,1200,INJECTOR,CARDAN,160.0,BMW,K_1200_S,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2008,605000,False,False,Москва,6,37078,True,13,,,1000,INJECTOR,CHAIN,127.0,Kawasaki,Z_1000,NAKEDBIKE,,TRANSMISSION_6
1,ORIGINAL,1996,265000,False,False,Москва,6,43680,True,10,,,399,CARBURETOR,CHAIN,27.0,Yamaha,SR_400,CLASSIC,,TRANSMISSION_5
1,ORIGINAL,2009,1005000,False,False,Москва,6,17522,True,13,,,1300,INJECTOR,CARDAN,173.0,BMW,K_1300_GT,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2007,745000,False,False,Москва,6,43635,True,11,,,1200,INJECTOR,CARDAN,122.0,BMW,R_1200_S,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2004,435000,False,False,Москва,6,33132,True,13,,,1000,INJECTOR,CHAIN,120.0,Aprilia,TUONO_1000,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2014,780000,False,False,Москва,6,44750,True,10,,,600,INJECTOR,CHAIN,128.0,Honda,CBR_600_RR,SUPERSPORT,,TRANSMISSION_6
1,ORIGINAL,2004,345000,False,False,Москва,6,53120,True,11,,,1150,INJECTOR,CARDAN,95.0,BMW,R_1150_RS,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2009,705000,False,False,Москва,6,41202,True,13,,,800,INJECTOR,CHAIN,85.0,BMW,F_650_GS,TOURIST_ENDURO,,TRANSMISSION_5
1,ORIGINAL,2011,435000,False,False,Москва,6,61818,True,6,,,400,INJECTOR,CHAIN,44.0,Kawasaki,ER_4,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2001,435000,False,False,Москва,6,103407,True,6,,,1100,INJECTOR,CHAIN,164.0,Honda,CBR_1100,SPORTBIKE,,TRANSMISSION_6
1,ORIGINAL,2000,515000,False,False,Москва,6,32021,True,6,,,1100,CARBURETOR,CARDAN,65.0,Yamaha,XVS_1100,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2014,785000,False,False,Москва,6,5095,True,13,,,850,INJECTOR,CHAIN,115.0,Yamaha,MT_09,CLASSIC,,TRANSMISSION_6
1,ORIGINAL,2006,795000,False,False,Москва,6,58330,True,11,,,1170,INJECTOR,CARDAN,110.0,BMW,R_1200_GS_ADV,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2013,985000,False,False,Москва,6,50609,True,10,,,1200,INJECTOR,CARDAN,105.0,BMW,R_1200_GS,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2008,785000,False,False,Москва,6,53430,True,13,,,1400,INJECTOR,CHAIN,200.0,Kawasaki,ZZR_1400,SPORTTOURISM,,TRANSMISSION_6
1,ORIGINAL,2015,625000,False,False,Москва,6,43238,True,10,,,700,INJECTOR,CHAIN,50.0,Honda,NC_700_X,SPORTENDURO,,TRANSMISSION_6
1,ORIGINAL,2017,65000,False,False,Красноярск,7,2000,True,3,CYLINDERS_1,,49,,BELT,5.0,Suzuki,GS_50,CLASSIC,STROKES_4,VARIATOR
1,ORIGINAL,2008,1040000,False,False,Москва,6,39000,True,25,CYLINDERS_2,,1580,INJECTOR,BELT,,Harley-Davidson,ELECTRA_GLIDE_,CRUISER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2020,60000,False,False,Екатеринбург,7,1,True,4,,,110,CARBURETOR,CHAIN,9.0,BSE,EVO_110,PITBIKE,STROKES_4,VARIATOR
1,ORIGINAL,2005,360000,False,False,Куровское,7,47000,True,5,CYLINDERS_4,LINE,600,CARBURETOR,CHAIN,78.0,Honda,CBF_600S,ROAD,STROKES_4,TRANSMISSION_5_FORWARD_AND_BACK
2,ORIGINAL,1997,240000,False,False,Новопетровское,7,60000,True,8,CYLINDERS_2,,400,CARBURETOR,CHAIN,34.0,Honda,SHADOW,CHOPPER,STROKES_4,TRANSMISSION_5
2,ORIGINAL,2019,385000,False,False,Королёв,7,8599,True,6,CYLINDERS_1,,400,,CHAIN,40.0,Bajaj,DOMINAR,NAKEDBIKE,,TRANSMISSION_6
1,ORIGINAL,2013,599900,False,False,Москва,6,16000,True,19,CYLINDERS_2,LINE,800,INJECTOR,CHAIN,87.0,BMW,F_800_R,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2006,750000,False,False,Иваново,7,44000,True,2,CYLINDERS_2,V_TYPE,1560,INJECTOR,BELT,,Harley-Davidson,ROAD_GLIDE_LIMITED,CRUISER,STROKES_4,
4,ORIGINAL,2017,350000,False,False,Москва,6,13000,True,22,CYLINDERS_1,LINE,373,INJECTOR,CHAIN,44.0,KTM,RC_390,SPORTBIKE,STROKES_4,TRANSMISSION_6
4,ORIGINAL,2002,260000,False,False,Москва,6,70000,True,14,,,400,CARBURETOR,CHAIN,,Honda,CB_400,ROAD,,TRANSMISSION_6
1,ORIGINAL,2020,1150000,False,True,Ростов-на-Дону,7,3850,True,17,CYLINDERS_4,LINE,948,INJECTOR,CHAIN,125.0,Kawasaki,Z_900,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2000,175000,False,False,Владивосток,7,23026,True,6,,,400,,Not_info,,Suzuki,DESPERADO_VZ400,CHOPPER,,
1,ORIGINAL,1997,285000,False,False,Владивосток,7,59487,True,21,,,1200,,Not_info,,Yamaha,VMAX_1200,ROAD,,
1,ORIGINAL,2005,225000,False,False,Владивосток,7,9347,True,20,,,400,,Not_info,,Yamaha,XVS_400,CHOPPER,,
1,ORIGINAL,2000,249000,False,False,Владивосток,7,28914,True,7,,,600,,Not_info,,Honda,CBR_600_F,ROAD,,
1,ORIGINAL,2008,610000,False,False,Владивосток,7,7000,True,29,CYLINDERS_2,V_TYPE,1600,INJECTOR,CARDAN,,Kawasaki,VN1600_VULCAN,CHOPPER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2012,650000,False,False,Ростов-на-Дону,7,8000,True,3,,,700,,Not_info,54.0,Honda,NC_700_S,,,AUTOMATIC
2,ORIGINAL,2019,650000,False,False,Южно-Сахалинск,7,2300,True,1,CYLINDERS_1,LINE,300,INJECTOR,CHAIN,,KTM,300_EXC,OFFROAD_ENDURO,STROKES_2,TRANSMISSION_6
