owners_number,pts,year,price,with_nds,is_oficial,city,parents_ids_len,mileage,state_not_beaten,images_count,cylinder_amount,cylinder_order,displacement,engine,gear,horse_power,mark,model_info,moto_type,stroke_amount,transmission
2,ORIGINAL,2009,790000,False,False,Москва,6,32818,True,9,,,1000,,Not_info,178.0,Honda,CBR_1000_RR,,,
1,ORIGINAL,2011,649000,False,True,Москва,6,19613,True,7,CYLINDERS_4,LINE,600,INJECTOR,CHAIN,102.0,Honda,CBR_600_F,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,1350000,False,False,Москва,6,7952,True,11,,,1900,,Not_info,90.0,Yamaha,XV1900,,,
1,ORIGINAL,2007,640000,False,False,Москва,6,78560,True,12,,,1200,,Not_info,110.0,BMW,R_1200_R,,,
1,ORIGINAL,2009,1450000,False,False,Москва,6,41466,True,8,,,1800,,Not_info,118.0,Honda,GL_1800,,,
1,ORIGINAL,2017,2250000,False,False,Москва,6,56818,True,10,,,1600,,Not_info,160.0,BMW,K_1600_GTL,,,
1,ORIGINAL,2015,1590000,False,False,Москва,6,38777,True,12,,,1200,,Not_info,125.0,BMW,R_1200_GS,,,
2,ORIGINAL,2015,1750000,False,False,Москва,6,22889,True,11,,,1800,,Not_info,74.0,Indian,ROADMASTER,,,
2,ORIGINAL,2018,505000,False,False,Москва,6,11198,True,11,,,300,,Not_info,34.0,BMW,G310R,,,
3,ORIGINAL,2014,750000,False,False,Москва,6,19741,True,8,,,750,,Not_info,55.0,Honda,NM4,,,
1,ORIGINAL,2015,1050000,False,False,Москва,6,34766,True,13,,,1000,,Not_info,160.0,BMW,S_1000_R,,,
1,ORIGINAL,2019,1650000,False,False,Москва,6,10409,True,8,,,680,,Not_info,128.0,MV Agusta,F3_675,,,
2,ORIGINAL,2013,1050000,False,False,Москва,6,37601,True,11,,,1300,,Not_info,175.0,BMW,K_1300_S,,,
1,ORIGINAL,2019,999000,False,False,Санкт-Петербург,6,2097,True,17,CYLINDERS_2,V_TYPE,900,INJECTOR,CHAIN,95.0,Aprilia,DORSODURO_900,SUPERMOTARD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2018,2500000,False,False,Москва,6,18122,True,11,,,1600,,Not_info,160.0,BMW,K_1600_GT,,,
1,ORIGINAL,2020,1990000,False,False,Москва,6,38370,True,10,,,1000,,Not_info,160.0,BMW,S_1000_XR,,,
1,ORIGINAL,2019,840000,False,False,Москва,6,2234,True,7,,,600,,Not_info,68.0,Kawasaki,Z_650,,,
1,ORIGINAL,2019,1550000,False,False,Москва,6,15168,True,10,,,800,,Not_info,95.0,BMW,F_850_GS_ADV,,,
1,ORIGINAL,2012,1100000,False,False,Москва,6,29816,True,13,,,1200,,Not_info,110.0,BMW,R_1200_GS,,,
3,ORIGINAL,2014,1450000,False,False,Москва,6,64793,True,10,,,1200,,Not_info,125.0,BMW,R_1200_GS_ADV,,,
3,ORIGINAL,2019,1050000,False,False,Москва,6,7150,True,12,CYLINDERS_2,V_TYPE,749,INJECTOR,BELT,71.0,Harley-Davidson,VRSCR,CRUISER,,
1,ORIGINAL,2018,1400000,False,False,Москва,6,8889,True,8,,,1000,,Not_info,142.0,Kawasaki,Z_1000SX,,,
1,ORIGINAL,2015,800000,False,False,Москва,6,63717,True,8,,,800,,Not_info,90.0,BMW,F_800_GT,,,
2,ORIGINAL,2017,1650000,False,False,Москва,6,14000,True,12,,,1000,,Not_info,107.0,BMW,S_1000_RR,,,
1,ORIGINAL,2020,2550000,False,False,Москва,6,18993,True,12,,,1000,,Not_info,207.0,BMW,S_1000_RR,,,
1,DUPLICATE,2019,2300000,False,True,Москва,6,8,True,5,CYLINDERS_2,OPPOSITE,1254,INJECTOR,CARDAN,136.0,BMW,R_1250_R,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2018,480000,False,True,Москва,6,8405,True,6,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G_310_GS,ALLROUND,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2019,2580000,False,True,Москва,6,6797,True,10,CYLINDERS_6,LINE,1649,INJECTOR,CARDAN,107.0,BMW,K_1600_GA,TOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2019,890000,False,False,Владивосток,7,250,True,17,CYLINDERS_2,LINE,900,INJECTOR,CHAIN,65.0,Triumph,STREET_TWIN,CLASSIC,STROKES_4,TRANSMISSION_5
2,ORIGINAL,2018,980000,False,False,Москва,6,1211,True,8,CYLINDERS_2,V_TYPE,1200,INJECTOR,BELT,,Harley-Davidson,SPORTSTER_,CRUISER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2002,445000,False,False,Владивосток,7,7079,True,6,,,650,INJECTOR,CHAIN,,BMW,F_650_GS,TOURIST_ENDURO,STROKES_4,
1,ORIGINAL,2004,325000,False,False,Владивосток,7,24375,True,6,,,250,CARBURETOR,CHAIN,,Kawasaki,KLX_250,SPORTENDURO,STROKES_4,
1,ORIGINAL,2000,425000,False,False,Владивосток,7,40576,True,6,,,1300,CARBURETOR,CHAIN,,Honda,X4,CLASSIC,STROKES_4,
4,ORIGINAL,2014,90000,False,False,Муслюмкино,8,8500,True,2,CYLINDERS_1,LINE,250,CARBURETOR,CHAIN,23.0,Xmotos,XZ250_CROSS,SPORTBIKE,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2004,330000,False,False,Москва,6,38000,True,14,CYLINDERS_4,LINE,747,CARBURETOR,CHAIN,75.0,Honda,CB_750,CLASSIC,,TRANSMISSION_5
1,ORIGINAL,2015,1230000,False,False,Владивосток,7,39000,True,10,CYLINDERS_2,V_TYPE,1800,INJECTOR,BELT,,Indian,CHIEFTAIN,CRUISER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2008,535000,False,False,Москва,6,46301,True,11,,,1100,CARBURETOR,CARDAN,65.0,Yamaha,XVS_1100,CRUISER,,TRANSMISSION_5
1,ORIGINAL,2003,512000,False,False,Москва,6,49525,True,10,,,1170,INJECTOR,CARDAN,60.0,BMW,R_1200,TOURISM,,TRANSMISSION_5
1,ORIGINAL,2006,665000,False,False,Москва,6,75227,True,11,,,1450,INJECTOR,BELT,61.0,Harley-Davidson,ELECTRA_GLIDE_,CRUISER,,TRANSMISSION_6
2,ORIGINAL,2016,1150000,False,True,Москва,6,47388,True,6,CYLINDERS_2,OPPOSITE,1170,INJECTOR,CARDAN,125.0,BMW,R_1200_RS,,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,1285000,False,False,Казань,7,997,True,8,CYLINDERS_2,LINE,649,INJECTOR,CHAIN,61.0,Kawasaki,EN650_VULCAN_S,,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2006,395000,False,False,Владивосток,7,28000,True,16,CYLINDERS_2,V_TYPE,1100,CARBURETOR,CARDAN,,Yamaha,XVS_1100,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2015,3200000,False,False,Москва,6,31600,True,17,,,1800,,Not_info,97.0,Harley-Davidson,CVO_STREET_GLIDE,,,
1,ORIGINAL,2018,4000000,False,False,Москва,6,17600,True,7,,,1900,,Not_info,106.0,Harley-Davidson,CVO_LIMITED,,,
3,ORIGINAL,2009,1600000,False,True,Санкт-Петербург,6,27142,True,8,CYLINDERS_2,V_TYPE,1802,INJECTOR,BELT,94.0,Harley-Davidson,CVO_LIMITED,ROAD,STROKES_4,TRANSMISSION_6_FORWARD_AND_BACK
1,ORIGINAL,2003,325000,False,False,Санкт-Петербург,6,46970,True,21,CYLINDERS_2,V_TYPE,647,CARBURETOR,CARDAN,56.0,Honda,NT_650,TOURISM,STROKES_4,TRANSMISSION_5
4,ORIGINAL,2004,1950000,False,False,Санкт-Петербург,6,12885,True,20,CYLINDERS_6,OPPOSITE,1832,INJECTOR,CARDAN,106.0,Honda,VALKIRIE_1800,CRUISER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2000,345000,False,False,Санкт-Петербург,6,24351,True,23,CYLINDERS_4,LINE,599,CARBURETOR,CHAIN,111.0,Kawasaki,ZX_6_NINJA,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,1993,192000,False,False,Калуга,7,30000,True,31,CYLINDERS_4,LINE,598,CARBURETOR,CHAIN,61.0,Yamaha,XJ_600,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2003,339000,False,False,Калуга,7,29000,True,31,CYLINDERS_4,LINE,1157,CARBURETOR,CHAIN,98.0,Suzuki,GSF_1200_BANDIT,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2000,295000,False,False,Калуга,7,43500,True,28,CYLINDERS_4,LINE,599,CARBURETOR,CHAIN,80.0,Suzuki,GSF_600_BANDIT,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,1994,245000,False,False,Калуга,7,34000,True,33,CYLINDERS_4,LINE,498,CARBURETOR,CHAIN,60.0,Kawasaki,GPZ_500,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2002,295000,False,False,Калуга,7,49000,True,28,CYLINDERS_3,LINE,955,INJECTOR,CHAIN,110.0,Triumph,SPRINT_ST,SPORTTOURISM,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2020,1390000,False,False,Санкт-Петербург,6,19000,True,10,CYLINDERS_2,,900,INJECTOR,CHAIN,105.0,BMW,F_900_XR,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2021,1695000,False,False,Москва,6,3223,True,6,CYLINDERS_2,V_TYPE,1079,INJECTOR,CHAIN,86.0,Ducati,SCRAMBLER_1100,CLASSIC,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,3320000,False,False,Москва,6,9796,True,6,CYLINDERS_4,V_TYPE,1158,INJECTOR,CHAIN,170.0,Ducati,MULTISTRADA_V4,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2019,1850000,False,True,Челябинск,7,11633,True,8,CYLINDERS_2,V_TYPE,1745,INJECTOR,BELT,84.0,Harley-Davidson,SPORT_GLIDE,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2014,813280,False,False,Москва,6,31498,True,4,CYLINDERS_3,LINE,800,INJECTOR,CHAIN,,Triumph,TIGER_800,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2015,874000,False,False,Москва,6,16484,True,4,CYLINDERS_4,LINE,1000,INJECTOR,CHAIN,,Kawasaki,Z_1000SX,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,809600,False,False,Москва,6,8938,True,4,CYLINDERS_2,V_TYPE,1200,INJECTOR,BELT,,Harley-Davidson,SPORTSTER_,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2014,690000,False,False,Москва,6,12229,True,4,CYLINDERS_2,LINE,700,INJECTOR,CHAIN,,Yamaha,MT_07,NAKEDBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2007,600000,False,False,Екатеринбург,7,33832,True,7,CYLINDERS_2,V_TYPE,1100,CARBURETOR,CARDAN,60.0,Yamaha,XVS_1100,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2008,510000,False,False,Владивосток,7,11000,True,21,CYLINDERS_2,V_TYPE,883,INJECTOR,BELT,,Harley-Davidson,XLH_883,CHOPPER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2005,540960,False,False,Москва,6,53707,True,4,CYLINDERS_2,LINE,900,INJECTOR,CHAIN,,Yamaha,TDM_900,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2011,397440,False,False,Москва,6,29898,True,4,CYLINDERS_2,LINE,400,INJECTOR,CHAIN,,Kawasaki,ER_4,ROAD,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2019,2999999,False,True,Владивосток,7,4667,True,23,CYLINDERS_2,OPPOSITE,1250,INJECTOR,CARDAN,136.0,BMW,R_1250_GS_ADV,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2020,4850000,False,True,Казань,7,200,True,14,CYLINDERS_2,V_TYPE,1868,INJECTOR,BELT,,Harley-Davidson,FREEWHELLER,TRIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2004,555000,False,False,Краснодар,7,20614,True,29,CYLINDERS_2,V_TYPE,1312,CARBURETOR,CARDAN,74.0,Honda,VTX1300,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2016,899000,False,False,Санкт-Петербург,6,40358,True,16,CYLINDERS_2,LINE,745,INJECTOR,CHAIN,54.0,Honda,NC_750_X,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2007,885128,False,False,Москва,6,68677,True,8,CYLINDERS_2,OPPOSITE,1200,INJECTOR,CARDAN,,BMW,R_1200_GS_ADV,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2014,854680,False,False,Москва,6,39632,True,4,CYLINDERS_2,V_TYPE,950,INJECTOR,BELT,,Yamaha,XVS950_BOLT,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2020,1350000,False,True,Ростов-на-Дону,7,1400,True,20,CYLINDERS_2,LINE,745,INJECTOR,CHAIN,55.0,Honda,NC_750,ROAD,STROKES_4,ROBOTIC_2_CLUTCH
1,ORIGINAL,2014,814200,False,False,Москва,6,13060,True,3,CYLINDERS_2,LINE,800,INJECTOR,CHAIN,,BMW,F_700_GS,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2012,615000,False,False,Москва,6,20573,True,4,CYLINDERS_2,LINE,700,INJECTOR,CHAIN,,Honda,NC_700_X,ROAD,STROKES_4,TRANSMISSION_6
2,ORIGINAL,1998,615000,False,False,Москва,6,30714,True,14,CYLINDERS_6,OPPOSITE,1520,CARBURETOR,CARDAN,97.0,Honda,GL_1500,TOURISM,STROKES_4,TRANSMISSION_5_FORWARD_AND_BACK
1,ORIGINAL,2008,650000,False,False,Краснодар,7,44170,True,29,CYLINDERS_4,LINE,1352,INJECTOR,CARDAN,155.0,Kawasaki,1400_GTR,TOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2005,638301,False,False,Москва,6,45861,True,8,CYLINDERS_4,LINE,1200,INJECTOR,CARDAN,,BMW,K_1200_S,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2017,1365000,False,False,Ярославль,7,16586,True,7,CYLINDERS_2,LINE,1000,INJECTOR,CHAIN,95.0,Honda,CRF_1000L_AFRICA_TWIN,TOURIST_ENDURO,,AUTOMATIC
1,ORIGINAL,2014,897920,False,False,Москва,6,19904,True,4,CYLINDERS_2,V_TYPE,883,INJECTOR,BELT,,Harley-Davidson,XLH_883,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2015,150000,False,False,Серпухов,7,1,True,9,CYLINDERS_1,,49,CARBURETOR,CHAIN,6.0,Honda,CRF50F,CHILDISH,STROKES_4,TRANSMISSION_3
1,ORIGINAL,2001,485000,False,False,Краснодар,7,32142,True,29,CYLINDERS_2,V_TYPE,1094,INJECTOR,CARDAN,74.0,Moto Guzzi,CALIFORNIA_1400,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2021,2590000,False,True,Екатеринбург,7,505,True,6,CYLINDERS_2,V_TYPE,1250,INJECTOR,CHAIN,152.0,Harley-Davidson,PAN_AMERICA,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2014,1394720,False,False,Москва,6,28224,True,4,CYLINDERS_2,OPPOSITE,1200,INJECTOR,CARDAN,,BMW,R_1200_RT,SPORTTOURISM,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2014,740000,False,True,Балашиха,7,41277,True,3,CYLINDERS_4,V_TYPE,1037,INJECTOR,CHAIN,100.0,Suzuki,DL_V_STROM,TOURIST_ENDURO,,TRANSMISSION_6
1,ORIGINAL,2020,2390000,False,True,Балашиха,7,2601,True,3,CYLINDERS_4,LINE,999,INJECTOR,CHAIN,207.0,BMW,S_1000_RR,SUPERSPORT,,TRANSMISSION_6
1,ORIGINAL,2016,870000,False,False,Москва,6,17000,True,12,,,899,INJECTOR,Not_info,,Yamaha,MT_09_TRACER,SPORTTOURISM,,
1,ORIGINAL,2006,485760,False,False,Москва,6,57401,True,2,CYLINDERS_2,V_TYPE,650,INJECTOR,CHAIN,,Suzuki,V_STROM_DL_650,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2000,185000,False,False,Владивосток,7,26000,True,22,,,400,,Not_info,,Yamaha,XVS_400,CHOPPER,,
1,ORIGINAL,1997,450000,False,False,Санкт-Петербург,6,15677,True,5,,,789,CARBURETOR,Not_info,,Kawasaki,VN800_VULCAN,CHOPPER,,
1,ORIGINAL,2015,740000,False,False,Санкт-Петербург,6,48872,True,6,,,648,INJECTOR,Not_info,66.0,Suzuki,V_STROM_DL_650,TOURIST_ENDURO,,
1,ORIGINAL,2008,552000,False,False,Москва,6,32235,True,8,CYLINDERS_2,V_TYPE,900,INJECTOR,BELT,,Kawasaki,VN900_VULCAN,CRUISER,STROKES_4,TRANSMISSION_5
1,ORIGINAL,2020,2600000,True,True,Владивосток,7,1808,True,18,CYLINDERS_2,OPPOSITE,1250,INJECTOR,CARDAN,136.0,BMW,R_1250_GS,TOURIST_ENDURO,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,2750000,False,False,Москва,6,40,True,20,CYLINDERS_4,LINE,1340,INJECTOR,CHAIN,188.0,Suzuki,GSX_1300_R_HAYABUSA,SPORTTOURISM,STROKES_4,TRANSMISSION_6
2,ORIGINAL,2016,600000,False,True,Санкт-Петербург,6,8418,True,7,CYLINDERS_1,LINE,286,INJECTOR,BELT,31.0,Honda,CBR_300,SPORTBIKE,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2013,2470000,False,True,Санкт-Петербург,6,8955,True,9,CYLINDERS_2,V_TYPE,1690,INJECTOR,BELT,79.0,Harley-Davidson,FAT_BOY,CHOPPER,STROKES_4,TRANSMISSION_6
1,ORIGINAL,2021,875000,True,True,Санкт-Петербург,6,3,True,5,CYLINDERS_1,LINE,313,INJECTOR,CHAIN,34.0,BMW,G310R,NAKEDBIKE,STROKES_4,TRANSMISSION_6
